overall_qual_liv_area,overall_qual_squared,quality_and_age,overall_qual,house_total_sq,exter_qual_num,gr_liv_area,kitchen_qual_num,bsmt_qual_num,garage_area,garage_cars,total_bsmt_sf,year_remod_or_built,year_remod_or_built_sq,garage_finish,exterior_cond_and_qual
8874,36,12030,6,2204.0,4,1479,4,3.0,475.0,2.0,725.0,3961880,15696493134400,1,12
14854,49,13979,7,3035.0,4,2122,4,4.0,559.0,2.0,913.0,3986012,15888291664144,1,12
5285,25,10035,5,2114.0,3,1057,4,3.0,246.0,1.0,1057.0,3919671,15363820748241,2,12
7220,25,10035,5,1828.0,3,1444,3,4.0,400.0,2.0,384.0,4026042,16209014185764,0,9
8670,36,11958,6,2121.0,3,1445,3,2.0,484.0,2.0,676.0,3786700,14339096890000,2,9
11328,36,12012,6,3405.0,4,1888,4,3.0,578.0,2.0,1517.0,3935932,15491560708624,0,12
6432,36,12036,6,1619.0,3,1072,3,4.0,525.0,2.0,547.0,4022030,16176725320900,0,9
5940,25,9795,5,2376.0,3,1188,3,3.0,531.0,2.0,1188.0,3837681,14727795457761,1,9
4620,25,9760,5,1848.0,3,924,3,3.0,420.0,1.0,924.0,3810304,14518416572416,2,9
10400,25,9845,5,3120.0,3,2080,2,4.0,504.0,2.0,1040.0,3876961,15030826595521,2,9
5922,36,11826,6,1470.0,3,987,3,3.0,264.0,1.0,483.0,3884841,15091989595281,2,9
8456,49,14035,7,2416.0,4,1208,4,4.0,632.0,2.0,1208.0,4020025,16160601000625,1,12
10080,25,10035,5,2016.0,4,2016,3,3.5861723446893787,576.0,2.0,0.0,3773160,14236736385600,2,12
12856,64,16000,8,2567.0,4,1607,4,4.0,480.0,2.0,960.0,3998000,15984004000000,2,12
9527,49,14049,7,2712.0,4,1361,4,4.0,610.0,2.0,1351.0,4028049,16225178746401,1,12
7150,25,10025,5,2860.0,3,1430,4,5.0,624.0,2.0,1430.0,4018020,16144484720400,1,9
6720,25,9750,5,1968.0,3,1344,3,3.0,513.0,3.0,624.0,3736200,13959190440000,2,9
5605,25,9815,5,2242.0,3,1121,3,3.0,480.0,2.0,1121.0,3853369,14848452650161,2,9
7710,36,11862,6,1945.0,3,1285,3,3.0,528.0,2.0,660.0,3908529,15276598943841,1,9
10829,49,14063,7,2303.0,3,1547,4,4.0,614.0,2.0,756.0,4036081,16289949838561,2,9
4470,25,9840,5,1788.0,3,894,3,4.0,450.0,2.0,894.0,3873024,15000314904576,0,9
13272,64,16000,8,3160.0,4,1659,5,4.0,499.0,2.0,1501.0,4000000,16000000000000,0,12
18024,64,16048,8,3462.0,4,2253,5,5.0,575.0,2.0,1209.0,4022030,16176725320900,0,12
7122,36,12042,6,2355.0,3,1187,3,4.0,420.0,2.0,1168.0,3997944,15983556227136,0,12
5280,25,9775,5,2112.0,3,1056,3,3.0,572.0,2.0,1056.0,3822025,14607875100625,0,9
8718,36,11766,6,2906.0,3,1453,3,3.0,530.0,2.0,1453.0,3845521,14788031761441,1,9
4470,25,10045,5,1788.0,3,894,3,3.0,336.0,1.0,894.0,3947685,15584216859225,2,12
9690,25,9975,5,2880.0,3,1938,4,3.0,240.0,1.0,942.0,3864315,14932930419225,2,9
9955,25,10030,5,2948.0,3,1991,3,3.0,0.0,0.0,957.0,3801370,14450413876900,3,12
4620,25,10030,5,1596.0,3,924,3,3.0,576.0,2.0,672.0,3909694,15285707173636,2,12
