Yr Built or Remod,Overall Qual Sq,Garage Total,SQRT 1st SQ,Overall Qual Living Area
3961880,36,950.0,26.92582403567252,8874
3986012,49,1118.0,30.215889859476256,14854
3919671,25,246.0,32.51153641401772,5285
4026042,25,800.0,27.27636339397171,7220
3786700,36,968.0,28.827070610799147,8670
3935932,36,1156.0,43.45112196480086,11328
4022030,36,1050.0,32.7414110874898,6432
3837681,25,1062.0,34.46737587922817,5940
3810304,25,420.0,30.397368307141328,4620
3876961,25,1008.0,32.2490309931942,10400
3884841,36,264.0,21.97726097583591,5922
4020025,49,1264.0,34.75629439396553,8456
3773160,25,1152.0,35.888716889852724,10080
3998000,64,960.0,31.016124838541646,12856
4028049,49,1220.0,36.89173349139343,9527
4018020,25,1248.0,37.815340802378074,7150
3736200,25,1539.0,24.979991993593593,6720
3853369,25,960.0,33.481338085566414,5605
3908529,36,1056.0,35.84689665786984,7710
4036081,49,1228.0,27.640549922170507,10829
3873024,25,900.0,29.899832775452108,4470
4000000,64,998.0,40.7308237088326,13272
4022030,64,1150.0,34.77067730142742,18024
3997944,36,840.0,34.45286635390443,7122
3822025,25,1144.0,32.49615361854384,5280
3845521,36,1060.0,38.118237105091836,8718
3947685,25,336.0,29.899832775452108,4470
3864315,25,240.0,35.566838487557476,9690
3801370,25,0.0,32.155870381627054,9955
3909694,25,1152.0,25.92296279363144,4620
3924361,64,1084.0,50.23942674832188,20192
3761550,64,800.0,28.142494558940577,12136
3982020,64,962.0,38.65229618017538,11952
3810304,36,820.0,30.789608636681304,5688
4030056,64,2478.0,41.44876355212541,13744
3833764,36,384.0,33.793490497431605,6852
3908529,25,336.0,30.4138126514911,7375
3908529,36,1092.0,42.941821107167776,11064
3892729,49,1056.0,35.24202037341219,8694
3976036,25,384.0,31.464265445104548,4950
3861225,25,276.0,35.4400902933387,6280
4024036,100,2550.0,45.56314299957807,20760
3912484,25,1204.0,33.31666249791537,5550
3818116,25,352.0,32.4037034920393,8975
3861225,25,384.0,32.2490309931942,5200
3773250,64,1572.0,31.352830813181765,14984
3804360,25,1320.0,31.368774282716245,8020
3862000,49,270.0,29.171904291629644,10514
3818116,25,280.0,32.60368077380221,5315
4014012,49,948.0,27.640549922170507,11382
4000000,36,880.0,27.712812921102035,9144
3759600,16,1152.0,36.4417343165772,7924
3912484,49,1128.0,37.30951621235526,19488
3880900,16,0.0,23.366642891095847,4368
3806401,36,800.0,39.68626966596886,9450
3876961,36,299.0,25.748786379167466,8112
4018020,49,960.0,24.49489742783178,8400
3859150,25,240.0,30.59411708155671,4680
3814209,36,293.0,32.2490309931942,6240
3984016,36,772.0,30.265491900843113,9816
4011993,64,2013.0,34.11744421846396,18160
4028049,64,1100.0,34.40930106817051,20880
3955977,49,1380.0,38.50973902793941,10381
3744000,25,225.0,30.983866769659336,8700
3822025,25,350.0,37.17526059088221,6910
4028049,25,0.0,33.46640106136302,5600
3850350,49,216.0,23.811761799581316,7686
4016016,49,760.0,31.240998703626616,11956
4024036,81,2529.0,42.44997055358225,16218
4020025,49,880.0,38.80721582386451,10542
4038090,49,1144.0,38.8329756778952,10556
3986012,49,2358.0,45.077710678338576,14224
3837681,36,1078.0,34.55430508634199,7164
4016016,49,760.0,31.144823004794873,11963
4020025,49,2502.0,40.19950248448356,11312
3763500,36,880.0,27.712812921102035,4608
3751800,25,322.0,29.5296461204668,4360
3757650,16,240.0,22.80350850198276,2080
3841600,25,960.0,33.24154027718932,11370
3855775,25,0.0,30.59411708155671,8005
3724500,25,960.0,24.819347291981714,6160
4034072,81,3498.0,47.265209192385896,20106
3734250,25,2160.0,29.597297173897484,7080
3953826,16,1152.0,29.393876913398138,3456
3988009,36,784.0,34.48187929913333,7134
4024036,81,1150.0,40.8166632639171,14994
4012009,49,1110.0,34.64101615137755,8400
3912000,25,252.0,30.463092423455635,4640
3876961,25,1004.0,36.55133376499413,6680
4016016,49,960.0,24.49489742783178,8400
3876961,36,1032.0,37.77565353504821,8562
3995992,49,1216.0,34.813790371058424,13944
3976036,49,990.0,27.459060435491963,10780
3916441,25,800.0,39.179076048319466,7675
3857296,25,968.0,33.94112549695428,5760
4026042,64,968.0,33.926390907374746,9208
3841600,36,960.0,33.734255586866,6828
3825936,25,792.0,32.77193921634788,5370
4020025,81,1112.0,39.50949253027682,14049
3980025,64,2175.0,36.851051545376556,21808
4016016,81,2010.0,43.40506882842141,16956
3843840,16,0.0,24.596747752497688,2420
3965832,64,1100.0,40.87786687193939,13368
3705000,9,0.0,28.231188426986208,2391
4006002,36,1120.0,28.35489375751565,11766
3888784,25,1002.0,34.539832078341085,5965
4000000,49,980.0,25.942243542145693,9674
3736200,36,216.0,40.792156108742276,15156
3829849,36,1100.0,37.282703764614496,8340
4012009,49,948.0,27.640549922170507,11382
3781050,25,800.0,29.46183972531247,7790
3876880,25,286.0,37.70941526992961,7110
3844560,25,720.0,33.58571124749333,7865
3849444,36,880.0,33.406586176980134,6696
3796650,4,0.0,25.69046515733026,1320
3952044,36,958.0,41.31585652022719,10242
3837681,25,1056.0,38.28837943815329,7330
4000000,81,990.0,40.47221268969612,14742
3841600,25,1252.0,41.48493702538308,8605
3988009,36,940.0,30.463092423455635,10584
3819860,25,0.0,31.559467676119,4980
3825936,25,304.0,34.66987164671943,6010
3845521,25,1144.0,31.432467291003423,4940
3757650,25,720.0,32.0624390837628,5140
3796650,25,240.0,26.832815729997478,6420
3908529,81,2592.0,39.98749804626441,26496
4016016,64,806.0,26.589471600616662,11312
3844680,49,1737.0,30.967725134404045,11263
3990006,36,800.0,28.513154858766505,9150
3869089,25,288.0,33.04542328371661,8280
3908529,49,880.0,32.48076353782343,7385
3889634,25,1440.0,26.0,6760
3908529,36,880.0,29.24038303442689,8736
3972049,64,946.0,41.46082488325576,13752
3753750,25,0.0,29.393876913398138,4320
3892729,36,264.0,21.97726097583591,5922
3742500,25,0.0,27.92848008753788,5100
4024036,64,1254.0,39.42080668885405,12432
4024036,100,2274.0,39.08964057138413,33900
3841208,36,0.0,27.92848008753788,9360
3806401,16,800.0,29.393876913398138,3456
4000000,36,862.0,31.74901573277509,11334
3943620,25,260.0,32.2490309931942,5200
3904092,25,366.0,34.23448553724738,5860
4040100,64,2556.0,37.656340767525464,11344
3765450,36,560.0,30.967725134404045,8202
4012009,49,1344.0,22.24859546128699,13454
3924361,36,1152.0,37.70941526992961,8532
4000000,49,972.0,31.38470965295043,12894
3734250,16,1144.0,29.79932885150268,7848
