Yr Built or Remod,Overall Qual Sq,Garage Total
3961880,36,950.0
3986012,49,1118.0
3919671,25,246.0
4026042,25,800.0
3786700,36,968.0
3935932,36,1156.0
4022030,36,1050.0
3837681,25,1062.0
3810304,25,420.0
3876961,25,1008.0
3884841,36,264.0
4020025,49,1264.0
3773160,25,1152.0
3998000,64,960.0
4028049,49,1220.0
4018020,25,1248.0
3736200,25,1539.0
3853369,25,960.0
3908529,36,1056.0
4036081,49,1228.0
3873024,25,900.0
4000000,64,998.0
4022030,64,1150.0
3997944,36,840.0
3822025,25,1144.0
3845521,36,1060.0
3947685,25,336.0
3864315,25,240.0
3801370,25,0.0
3909694,25,1152.0
3924361,64,1084.0
3761550,64,800.0
3982020,64,962.0
3810304,36,820.0
4030056,64,2478.0
3833764,36,384.0
3908529,25,336.0
3908529,36,1092.0
3892729,49,1056.0
3976036,25,384.0
3861225,25,276.0
4024036,100,2550.0
3912484,25,1204.0
3818116,25,352.0
3861225,25,384.0
3773250,64,1572.0
3804360,25,1320.0
3862000,49,270.0
3818116,25,280.0
4014012,49,948.0
4000000,36,880.0
3759600,16,1152.0
3912484,49,1128.0
3880900,16,0.0
3806401,36,800.0
3876961,36,299.0
4018020,49,960.0
3859150,25,240.0
3814209,36,293.0
3984016,36,772.0
4011993,64,2013.0
4028049,64,1100.0
3955977,49,1380.0
3744000,25,225.0
3822025,25,350.0
4028049,25,0.0
3850350,49,216.0
4016016,49,760.0
4024036,81,2529.0
4020025,49,880.0
4038090,49,1144.0
3986012,49,2358.0
3837681,36,1078.0
4016016,49,760.0
4020025,49,2502.0
3763500,36,880.0
3751800,25,322.0
3757650,16,240.0
3841600,25,960.0
3855775,25,0.0
3724500,25,960.0
4034072,81,3498.0
3734250,25,2160.0
3953826,16,1152.0
3988009,36,784.0
4024036,81,1150.0
4012009,49,1110.0
3912000,25,252.0
3876961,25,1004.0
4016016,49,960.0
3876961,36,1032.0
3995992,49,1216.0
3976036,49,990.0
3916441,25,800.0
3857296,25,968.0
4026042,64,968.0
3841600,36,960.0
3825936,25,792.0
4020025,81,1112.0
3980025,64,2175.0
4016016,81,2010.0
3843840,16,0.0
3965832,64,1100.0
3705000,9,0.0
4006002,36,1120.0
3888784,25,1002.0
4000000,49,980.0
3736200,36,216.0
3829849,36,1100.0
4012009,49,948.0
3781050,25,800.0
3876880,25,286.0
3844560,25,720.0
3849444,36,880.0
3796650,4,0.0
3952044,36,958.0
3837681,25,1056.0
4000000,81,990.0
3841600,25,1252.0
3988009,36,940.0
3819860,25,0.0
3825936,25,304.0
3845521,25,1144.0
3757650,25,720.0
3796650,25,240.0
