Yr Built or Remod,Lot Size House Sqft,Overall Qual Sq,Garage Total
3961880,19991643,36,950.0
3986012,24386024,49,1118.0
3919671,8373554,25,246.0
4026042,14154088,25,800.0
3786700,20569575,36,968.0
3935932,31136896,36,1156.0
4022030,3939600,36,1050.0
3837681,14446080,25,1062.0
3810304,14583492,25,420.0
3876961,24140480,25,1008.0
3884841,1658160,36,264.0
4020025,9045504,49,1264.0
3773160,53222400,25,1152.0
3998000,4250515,64,960.0
4028049,13102347,49,1220.0
4018020,14463020,25,1248.0
3736200,6143424,25,1539.0
3853369,9882736,25,960.0
3908529,10533145,36,1056.0
4036081,13366080,49,1228.0
3873024,7799256,25,900.0
4000000,9396576,64,998.0
4022030,28989351,64,1150.0
3997944,9472260,36,840.0
3822025,36590400,25,1144.0
3845521,15362569,36,1060.0
3947685,7554300,25,336.0
3864315,22674600,25,240.0
3801370,16425750,25,0.0
3909694,7451136,25,1152.0
3924361,24230400,64,1084.0
3761550,17346895,64,800.0
3982020,14266206,64,962.0
3810304,10380600,36,820.0
4030056,18274366,64,2478.0
3833764,10278000,36,384.0
3908529,3930875,25,336.0
3908529,21668844,36,1092.0
3892729,11923200,49,1056.0
3976036,8343720,25,384.0
3861225,12480872,25,276.0
4024036,28837716,100,2550.0
3912484,10102110,25,1204.0
3818116,21809250,25,352.0
3861225,11648000,25,384.0
3773250,18111910,64,1572.0
3804360,17640792,25,1320.0
3862000,10814400,49,270.0
3818116,10544960,25,280.0
4014012,3980448,49,948.0
4000000,4568952,36,880.0
3759600,15459724,16,1152.0
3912484,46470528,49,1128.0
3880900,1611792,16,0.0
3806401,16017750,36,800.0
3876961,12660128,36,299.0
4018020,3052800,49,960.0
3859150,9255168,25,240.0
3814209,8259680,36,293.0
3984016,24602168,36,772.0
4011993,26704280,64,2013.0
4028049,23490000,64,1100.0
3955977,29751946,49,1380.0
3744000,12715920,25,225.0
3822025,12092500,25,350.0
4028049,9410240,25,0.0
3850350,4392000,49,216.0
4016016,5744004,49,760.0
4024036,24534230,81,2529.0
4020025,4537578,49,880.0
4038090,26367380,49,1144.0
3986012,48219360,49,2358.0
3837681,10638540,36,1078.0
4016016,4310098,49,760.0
4020025,14039808,49,2502.0
3763500,4831488,36,880.0
3751800,15285288,25,322.0
3757650,3288480,16,240.0
3841600,26378400,25,960.0
3855775,11668088,25,0.0
3724500,5631472,25,960.0
4034072,38922982,81,3498.0
3734250,17933640,25,2160.0
3953826,7776000,16,1152.0
3988009,5350500,36,784.0
4024036,10617418,81,1150.0
4012009,12099600,49,1110.0
3912000,12342400,25,252.0
3876961,12825600,25,1004.0
4016016,3858000,49,960.0
