overall_qual_liv_area,overall_qual_squared,quality_and_age,overall_qual,house_total_sq,exter_qual_num,gr_liv_area,kitchen_qual_num,bsmt_qual_num,garage_area,garage_cars,total_bsmt_sf,year_remod_or_built,year_remod_or_built_sq,garage_finish
9.090880931938855,36,12030,6,2204.0,4,1479,4,3.0,475.0,2.0,725.0,3961880,15696493134400,1
9.606024468229242,49,13979,7,3035.0,4,2122,4,4.0,559.0,2.0,913.0,3986012,15888291664144,1
8.572627898304338,25,10035,5,2114.0,3,1057,4,3.0,246.0,1.0,1057.0,3919671,15363820748241,2
8.884610231886873,25,10035,5,1828.0,3,1444,3,4.0,400.0,2.0,384.0,4026042,16209014185764,0
9.067624069774588,36,11958,6,2121.0,3,1445,3,2.0,484.0,2.0,676.0,3786700,14339096890000,2
9.3350328159335,36,12012,6,3405.0,4,1888,4,3.0,578.0,2.0,1517.0,3935932,15491560708624,0
8.769040810858803,36,12036,6,1619.0,3,1072,3,4.0,525.0,2.0,547.0,4022030,16176725320900,0
8.68946441235669,25,9795,5,2376.0,3,1188,3,3.0,531.0,2.0,1188.0,3837681,14727795457761,1
8.438149984075784,25,9760,5,1848.0,3,924,3,3.0,420.0,1.0,924.0,3810304,14518416572416,2
9.249561085129464,25,9845,5,3120.0,3,2080,2,4.0,504.0,2.0,1040.0,3876961,15030826595521,2
8.686429508661536,36,11826,6,1470.0,3,987,3,3.0,264.0,1.0,483.0,3884841,15091989595281,2
9.042631527550073,49,14035,7,2416.0,4,1208,4,4.0,632.0,2.0,1208.0,4020025,16160601000625,1
9.21830854162536,25,10035,5,2016.0,4,2016,3,3.5861723446893787,576.0,2.0,0.0,3773160,14236736385600,2
9.461565907417349,64,16000,8,2567.0,4,1607,4,4.0,480.0,2.0,960.0,3998000,15984004000000,2
9.161885151706779,49,14049,7,2712.0,4,1361,4,4.0,610.0,2.0,1351.0,4028049,16225178746401,1
8.874867635688053,25,10025,5,2860.0,3,1430,4,5.0,624.0,2.0,1430.0,4018020,16144484720400,1
8.812843433517195,25,9750,5,1968.0,3,1344,3,3.0,513.0,3.0,624.0,3736200,13959190440000,2
8.63141433550626,25,9815,5,2242.0,3,1121,3,3.0,480.0,2.0,1121.0,3853369,14848452650161,2
8.950273466557375,36,11862,6,1945.0,3,1285,3,3.0,528.0,2.0,660.0,3908529,15276598943841,1
9.28998299962838,49,14063,7,2303.0,3,1547,4,4.0,614.0,2.0,756.0,4036081,16289949838561,2
8.405143687607614,25,9840,5,1788.0,3,894,3,4.0,450.0,2.0,894.0,3873024,15000314904576,0
9.493411831870281,64,16000,8,3160.0,4,1659,5,4.0,499.0,2.0,1501.0,4000000,16000000000000,0
9.79945948211208,64,16048,8,3462.0,4,2253,5,5.0,575.0,2.0,1209.0,4022030,16176725320900,0
8.870943863837724,36,12042,6,2355.0,3,1187,3,4.0,420.0,2.0,1168.0,3997944,15983556227136,0
